id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
4_-IcMpkF_sBRHomWZHNzA,bistrot-la-minette-philadelphia-2,Bistrot La Minette,https://s3-media3.fl.yelpcdn.com/bphoto/JVcztQRbDoZjtSr5SSvo4g/o.jpg,False,https://www.yelp.com/biz/bistrot-la-minette-philadelphia-2?adjust_creative=tLIi0_pnpEJj1yoyuRYOkg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tLIi0_pnpEJj1yoyuRYOkg,625,"[{'alias': 'french', 'title': 'French'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.5,"{'latitude': 39.9414622968223, 'longitude': -75.1523852348328}",['delivery'],$$$,"{'address1': '623 S 6th St', 'address2': '', 'address3': '', 'city': 'Philadelphia', 'zip_code': '19147', 'country': 'US', 'state': 'PA', 'display_address': ['623 S 6th St', 'Philadelphia, PA 19147']}",+12159258000,(215) 925-8000,2109.5064347544767
j-qtdD55OLfSqfsWuQTDJg,parc-philadelphia-2,Parc,https://s3-media3.fl.yelpcdn.com/bphoto/0vGzdKssl2CEbecvtOGxHw/o.jpg,False,https://www.yelp.com/biz/parc-philadelphia-2?adjust_creative=tLIi0_pnpEJj1yoyuRYOkg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tLIi0_pnpEJj1yoyuRYOkg,2893,"[{'alias': 'french', 'title': 'French'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.0,"{'latitude': 39.9491724, 'longitude': -75.1707273}","['pickup', 'delivery']",$$$,"{'address1': '227 S 18th St', 'address2': '', 'address3': '', 'city': 'Philadelphia', 'zip_code': '19103', 'country': 'US', 'state': 'PA', 'display_address': ['227 S 18th St', 'Philadelphia, PA 19103']}",+12155452262,(215) 545-2262,514.1796872022128
KTgZXj6xh8aN_tLfI-YZ1Q,bar-poulet-philadelphia,Bar Poulet,https://s3-media3.fl.yelpcdn.com/bphoto/lqt4KInYjkLNwrB286qlcA/o.jpg,False,https://www.yelp.com/biz/bar-poulet-philadelphia?adjust_creative=tLIi0_pnpEJj1yoyuRYOkg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tLIi0_pnpEJj1yoyuRYOkg,86,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'french', 'title': 'French'}]",4.5,"{'latitude': 39.95079, 'longitude': -75.17399}",[],,"{'address1': '2005 Walnut St', 'address2': '', 'address3': None, 'city': 'Philadelphia', 'zip_code': '19103', 'country': 'US', 'state': 'PA', 'display_address': ['2005 Walnut St', 'Philadelphia, PA 19103']}",+12155578277,(215) 557-8277,407.6070906194491
Oz7c0QA1C18Cb6tTdoehwQ,gabi-philadelphia,Gabi,https://s3-media4.fl.yelpcdn.com/bphoto/2ZpaflFSoA62ZGThLvbgtg/o.jpg,False,https://www.yelp.com/biz/gabi-philadelphia?adjust_creative=tLIi0_pnpEJj1yoyuRYOkg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tLIi0_pnpEJj1yoyuRYOkg,129,"[{'alias': 'french', 'title': 'French'}, {'alias': 'cafes', 'title': 'Cafes'}]",4.5,"{'latitude': 39.95925, 'longitude': -75.16151}",['delivery'],$$,"{'address1': '339 N Broad St', 'address2': '', 'address3': None, 'city': 'Philadelphia', 'zip_code': '19102', 'country': 'US', 'state': 'PA', 'display_address': ['339 N Broad St', 'Philadelphia, PA 19102']}",,,1008.9369528057224
p-MSh95si_sDdih94gyKuw,forsythia-philadelphia,Forsythia,https://s3-media3.fl.yelpcdn.com/bphoto/3jnQZfgrCg9KpNDnx-Elcg/o.jpg,False,https://www.yelp.com/biz/forsythia-philadelphia?adjust_creative=tLIi0_pnpEJj1yoyuRYOkg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tLIi0_pnpEJj1yoyuRYOkg,136,"[{'alias': 'modern_european', 'title': 'Modern European'}, {'alias': 'french', 'title': 'French'}, {'alias': 'newamerican', 'title': 'American (New)'}]",4.5,"{'latitude': 39.9487067926056, 'longitude': -75.1453940570354}",['delivery'],$$$,"{'address1': '233 Chestnut St', 'address2': '', 'address3': None, 'city': 'Philadelphia', 'zip_code': '19106', 'country': 'US', 'state': 'PA', 'display_address': ['233 Chestnut St', 'Philadelphia, PA 19106']}",+12156449395,(215) 644-9395,2271.260618166633
M6qDX8HZS7gOJ_pBOAih1g,royal-boucherie-philadelphia-2,Royal Boucherie,https://s3-media1.fl.yelpcdn.com/bphoto/EDgKN7AzyqWQOg7X8ggMTg/o.jpg,False,https://www.yelp.com/biz/royal-boucherie-philadelphia-2?adjust_creative=tLIi0_pnpEJj1yoyuRYOkg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tLIi0_pnpEJj1yoyuRYOkg,245,"[{'alias': 'brasseries', 'title': 'Brasseries'}]",4.0,"{'latitude': 39.94874, 'longitude': -75.14433}",['delivery'],$$$,"{'address1': '52 S 2nd St', 'address2': None, 'address3': '', 'city': 'Philadelphia', 'zip_code': '19106', 'country': 'US', 'state': 'PA', 'display_address': ['52 S 2nd St', 'Philadelphia, PA 19106']}",+12676066313,(267) 606-6313,2378.3458468943772
pgri9CUZXGy9hi6UMMQR6A,louie-louie-philadelphia,Louie Louie,https://s3-media2.fl.yelpcdn.com/bphoto/IfVl0yVvi8oVMD1_k91oPA/o.jpg,False,https://www.yelp.com/biz/louie-louie-philadelphia?adjust_creative=tLIi0_pnpEJj1yoyuRYOkg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tLIi0_pnpEJj1yoyuRYOkg,319,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'french', 'title': 'French'}]",4.0,"{'latitude': 39.9532791038158, 'longitude': -75.1955875611394}",['delivery'],$$$,"{'address1': '3611 Walnut St', 'address2': '', 'address3': None, 'city': 'Philadelphia', 'zip_code': '19104', 'country': 'US', 'state': 'PA', 'display_address': ['3611 Walnut St', 'Philadelphia, PA 19104']}",+12678058585,(267) 805-8585,2079.1938261071937
O2l31-gVCX2R9yRTtGPyaQ,the-little-hen-haddonfield,The Little Hen,https://s3-media3.fl.yelpcdn.com/bphoto/OhN_f5zxdM-6MduO8sN07Q/o.jpg,False,https://www.yelp.com/biz/the-little-hen-haddonfield?adjust_creative=tLIi0_pnpEJj1yoyuRYOkg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tLIi0_pnpEJj1yoyuRYOkg,38,"[{'alias': 'french', 'title': 'French'}]",4.5,"{'latitude': 39.8981295, 'longitude': -75.031362}",['delivery'],,"{'address1': '220 Kings Hwy E', 'address2': '', 'address3': None, 'city': 'Haddonfield', 'zip_code': '08033', 'country': 'US', 'state': 'NJ', 'display_address': ['220 Kings Hwy E', 'Haddonfield, NJ 08033']}",+18565282282,(856) 528-2282,13434.721108062406
fEqiXG_B-fn__w0aeF3nBQ,laurel-philadelphia-2,Laurel,https://s3-media2.fl.yelpcdn.com/bphoto/2CvzU52odV0tQEe_1MUFVA/o.jpg,False,https://www.yelp.com/biz/laurel-philadelphia-2?adjust_creative=tLIi0_pnpEJj1yoyuRYOkg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tLIi0_pnpEJj1yoyuRYOkg,332,"[{'alias': 'french', 'title': 'French'}, {'alias': 'newamerican', 'title': 'American (New)'}]",4.5,"{'latitude': 39.9294204711914, 'longitude': -75.1637115478516}",[],$$$$,"{'address1': '1617 E Passyunk Ave', 'address2': None, 'address3': '', 'city': 'Philadelphia', 'zip_code': '19148', 'country': 'US', 'state': 'PA', 'display_address': ['1617 E Passyunk Ave', 'Philadelphia, PA 19148']}",+12152718299,(215) 271-8299,2783.705144005874
ExRxjqOGmkWjArvM_qBORw,the-wayward-philadelphia,The Wayward,https://s3-media2.fl.yelpcdn.com/bphoto/A-72wiGpqRGbrcNAfivd3Q/o.jpg,False,https://www.yelp.com/biz/the-wayward-philadelphia?adjust_creative=tLIi0_pnpEJj1yoyuRYOkg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tLIi0_pnpEJj1yoyuRYOkg,104,"[{'alias': 'brasseries', 'title': 'Brasseries'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'french', 'title': 'French'}]",4.0,"{'latitude': 39.9509148952045, 'longitude': -75.1595963537693}",['delivery'],$$$,"{'address1': '1170 Ludlow St', 'address2': '', 'address3': None, 'city': 'Philadelphia', 'zip_code': '19107', 'country': 'US', 'state': 'PA', 'display_address': ['1170 Ludlow St', 'Philadelphia, PA 19107']}",+12152589430,(215) 258-9430,1039.4964729384938
